signal_id,name,category,source_module,data_source_url_or_path,data_status,earliest_date,latest_date,n_obs,cost_tier,priority,notes
T1A-1,NDX 200DMA breadth %,Breadth,A6 yahoo loader (planned),Yahoo / Polygon (computed from constituents),needs_implementation,,,,free,A,requires NDX constituent close data
T1A-2,McClellan Oscillator NDX,Breadth,new module (planned),StockCharts equivalent — computed from advancers/decliners,needs_implementation,,,,free,A,requires daily advancers/decliners feed
T1A-3,NDX New Hi-Lo 52W,Breadth,new module (planned),Polygon Starter ($29/mo) constituents,needs_paid_api,,,,low_paid,A,Polygon Starter or per-ticker yfinance loop
T1A-7,VIX9D / VIX ratio,Vol,A7 yahoo loader (planned),"^VIX9D, ^VIX via yfinance",available_yahoo,,,,free,A,short-term stress
T1A-8,VIX Term Structure VIX1/2/3,Vol,A9 cboe loader (planned),CBOE futures settlement files,available_cboe,,,,free,A,CBOE settlement CSV daily
T1A-9,VVIX,Vol,A7 yahoo loader (planned),^VVIX via yfinance,available_yahoo,,,,free,A,vol-of-vol
T1A-10,MOVE Index,Vol,A7 yahoo loader (planned),^MOVE via yfinance (Yahoo intermittent),available_yahoo,,,,free,A,Yahoo sometimes blocks ^MOVE; backup ICE direct
T1A-12,CBOE Put/Call (Equity),Sentiment,A9 cboe loader (planned),CBOE public data,available_cboe,,,,free,A,updated daily by CBOE
T1A-13,AAII Bull-Bear spread,Sentiment,A10 manual loader (planned),AAII members survey weekly CSV,needs_manual_csv,,,,free,A,weekly Thursday release; manual download
T1A-15,CFTC CoT NQ Non-Comm Net,Sentiment,A8 cftc loader (planned),CFTC TFF weekly CSV,available_cftc,,,,free,A,released Fridays
T1A-16,CFTC CoT GC Net,Sentiment,A8 cftc loader (planned),CFTC TFF weekly CSV,available_cftc,,,,free,A,released Fridays
T1A-17,CFTC CoT ZB/ZN Net,Sentiment,A8 cftc loader (planned),CFTC TFF weekly CSV,available_cftc,,,,free,A,released Fridays
T1A-27,3M-10Y spread,YieldCurve,A6 fred loader (planned),FRED T10Y3M,available_fred,,,,free,A,classical recession indicator
T1A-29,5Y5Y BEI,YieldCurve,A6 fred loader (planned),FRED T5YIFR,available_fred,,,,free,A,5Y5Y forward inflation expectation
T1A-30,CME FedWatch 25bp cut prob 3M,YieldCurve,new module (planned),CME public FedWatch (HTML scrape),needs_implementation,,,,free,A,scrape required; static snapshot available
T1A-32,Atlanta Fed GDPNow,Macro,A10 manual loader (planned),Atlanta Fed GDPNow CSV,needs_manual_csv,,,,free,A,"public, updated 4-6x per quarter"
T1A-34,Citi Economic Surprise USMI,Macro,A10 manual loader (planned),Citi USESI (proprietary scrape),needs_paid_api,,,,mid_paid,A,Bloomberg/Citi license; partial public mirrors exist
T1A-36,Chicago Fed NFCI,Macro,A6 fred loader (planned),FRED NFCI,available_fred,,,,free,A,already partially in nfci_weekly.csv
T1A-37,NDX Forward EPS Rev 4wk,Earnings,A10 manual loader (planned),EODHD or Finnhub,needs_paid_api,,,,low_paid,A,subscription needed
T1A-38,Equity Risk Premium,Earnings,A10 manual loader (planned),computed: Fwd EPS Yld - 10Y real,needs_implementation,,,,low_paid,A,requires fwd EPS data
T1A-40,Mag-7 EPS Revision composite,Earnings,A10 manual loader (planned),Finnhub per-ticker,needs_paid_api,,,,low_paid,A,Finnhub free tier may cover
T1A-42,Copper/Gold ratio,Cross-Asset,A7 yahoo loader (planned),HG=F / GC=F via yfinance,available_yahoo,,,,free,A,classical growth proxy
T1A-46,FOMC blackout window,Calendar,A10 manual loader (planned),Fed FOMC schedule (manual),needs_manual_csv,,,,free,A,computable from FOMC meeting dates
T1A-49,"Google Trends ""recession"" 90d Z",NLP/Search,new module (planned),pytrends,needs_implementation,,,,free,A,rate-limited; needs caching
T1A-50,Fed minutes hawkish-dovish NLP,NLP,A10 manual loader (planned),FOMC minutes + LLM,needs_paid_api,,,,mid_paid,A,requires LLM API
T1B-4,A/D Line price divergence,Breadth,A6 yahoo loader (planned),Yahoo (computed),needs_implementation,,,,free,B,computed from advancers/decliners
T1B-11,GVZ (Gold Vol),Vol,A7 yahoo loader (planned),^GVZ via yfinance,available_yahoo,,,,free,B,
T1B-14,NAAIM Exposure Index,Sentiment,A10 manual loader (planned),NAAIM weekly CSV,needs_manual_csv,,,,free,B,weekly Wednesday release
T1B-18,QQQ creation/redemption,Flow,A10 manual loader (planned),ICI / Finnhub,needs_paid_api,,,,low_paid,B,
T1B-19,GLD/TLT flows,Flow,A10 manual loader (planned),ICI / Finnhub,needs_paid_api,,,,low_paid,B,
T1B-22,ICE BofA IG OAS,Credit,A6 fred loader (planned),FRED BAMLC0A0CM,available_fred,,,,free,B,
